model,scenario,region,variable,unit,subannual,2010,2015,2020,2025,2030,2035,2040,2045,2050
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pGSL        ,index,Year,        1.00,        0.99,        0.98,        0.99,        0.99,        0.99,        0.99,        0.96,        0.90
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pDSL        ,index,Year,        1.00,        0.99,        0.98,        1.00,        1.00,        1.01,        1.01,        0.96,        0.87
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pHDI        ,index,Year,        1.00,        0.99,        0.98,        0.98,        0.98,        0.98,        0.98,        0.95,        0.87
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pNG         ,index,Year,        1.00,        1.00,        0.99,        0.98,        0.98,        0.98,        0.99,        0.96,        0.89
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pCOA        ,index,Year,        1.00,        0.99,        0.99,        0.98,        0.97,        0.95,        0.91,        0.76,        0.69
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pBIO        ,index,Year,        1.00,        0.98,        0.97,        0.93,        0.92,        0.92,        0.93,        0.96,        1.05
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pFUL        ,index,Year,        1.00,        1.00,        0.99,        0.91,        0.90,        0.89,        0.84,        0.66,        0.32
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pH2         ,index,Year,        1.00,        1.00,        0.99,        1.00,        0.98,        0.97,        0.97,        0.96,        0.95
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pAGRI       ,index,Year,        1.00,        0.99,        0.98,        0.96,        0.95,        0.94,        0.94,        0.93,        0.91
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pINDU       ,index,Year,        1.00,        1.00,        1.00,        1.00,        1.01,        1.02,        1.03,        1.04,        1.04
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pALUM       ,index,Year,        1.00,        0.99,        0.99,        1.05,        1.06,        1.07,        1.08,        1.08,        1.09
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pSERV       ,index,Year,        1.00,        1.00,        1.01,        1.02,        1.02,        1.02,        1.02,        1.01,        1.00
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pTRAN       ,index,Year,        1.00,        0.99,        0.98,        0.95,        0.94,        0.94,        0.94,        0.95,        0.96
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pELEC       ,index,Year,        1.00,        0.99,        0.98,        0.92,        0.91,        0.90,        0.91,        0.94,        1.00
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pTRDI       ,index,Year,        1.00,        0.99,        0.97,        0.97,        0.95,        0.94,        0.93,        0.94,        0.96
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pHTWT       ,index,Year,        1.00,        0.99,        0.95,        0.94,        0.95,        0.99,        1.10,        1.21,        1.20
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pCHEA       ,index,Year,        1.00,        1.01,        1.04,        1.03,        1.05,        1.07,        1.09,        1.10,        1.11
REMES:EU 1.0,Reference,     Denmark,Product Price Index|pCONS       ,index,Year,        1.00,        1.00,        1.01,        1.02,        1.02,        1.03,        1.03,        1.03,        1.03
REMES:EU 1.0,Reference,     Estonia,Product Price Index|pOIL        ,index,Year,        1.00,        1.00,        1.00,        1.02,        1.01,        1.01,        1.01,        1.01,        1.02
REMES:EU 1.0,Reference,     Estonia,Product Price Index|pGSL        ,index,Year,        1.00,        1.00,        1.00,        1.02,        1.01,        1.01,        1.00,        1.00,        0.99
REMES:EU 1.0,Reference,     Estonia,Product Price Index|pDSL        ,index,Year,        1.00,        1.00,        1.00,        1.01,        1.00,        1.00,        0.99,        0.98,        0.98
REMES:EU 1.0,Reference,     Estonia,Product Price Index|pHDI        ,index,Year,        1.00,        1.00,        0.99,        0.96,        0.86,        0.72,        0.59,        0.53,        0.51
REMES:EU 1.0,Reference,     Estonia,Product Price Index|pNG         ,index,Year,        1.00,        1.00,        1.01,        0.98,        0.97,        0.95,        0.94,        0.91,        0.87
REMES:EU 1.0,Reference,     Estonia,Product Price Index|pCOA        ,index,Year,        1.00,        1.01,        1.03,        1.01,        0.99,        0.96,        0.93,        0.89,        0.81
REMES:EU 1.0,Reference,     Estonia,Product Price Index|pBIO        ,index,Year,        1.00,        0.99,        0.97,        0.94,        0.95,        0.96,        0.97,        1.00,        1.06
